id,log vol score,no vol score,score,mean volume,volatility,long mom,short unweighted mom,long unweighted mom
130,-192.30752410338664,-13.60276997555344,-201.30191811053731,42534.18403074295,6.75739709945734e-05,-11.93437355745337,-18.044127043495124,-12.4982057438119
140,-147.18146755338168,-9.290186866090592,-178.3769014765834,24739.19239420193,5.208178182930355e-05,-6.445982133259306,-17.26568812473799,-7.003095073105764
150,-179.91108798452007,-11.96147398522754,-202.7032131292955,39478.264482903855,5.900978973430401e-05,-11.18577772492374,-14.746344872107576,-10.727995618955102
160,-427.85112767878303,-31.398537938551677,-430.8097033372385,72977.03660706895,7.288261544557842e-05,-21.826413046468478,-52.2747421346316,-29.66658352663817
170,-298.40318114509535,-21.393943741459292,-307.8374448194407,48758.73120006589,6.949753547365792e-05,-19.98540697075176,-25.22584156112073,-20.37911946321292
180,-55.848888430512474,-3.6342984319684635,-64.75085881838375,39659.05526130674,5.612741665963249e-05,-3.0942657889029235,-5.274534540657619,-3.074127609410386
190,-129.7051349128709,-10.641251538134311,-117.91820191291946,86448.59257563695,9.024265436130624e-05,-9.930727492603948,-9.816152328898106,-12.88739883843125
200,-189.45892651185193,-17.197530496503433,-159.24183627906837,82728.30559209216,0.0001079963086231,-13.497917521004608,-25.439986970730203,-16.35429997330255
210,-169.9473753243083,-24.067326391454216,-110.23257590245429,206126.7825672401,0.0002183322506475,-16.10910711214834,-40.72518948668426,-23.325901854839227
220,-152.2630741812466,-10.11434605464025,-171.7484312085114,32995.042286283955,5.8890471275169416e-05,-7.524396056524461,-17.36631196124384,-8.04228014426824
230,-213.79580536770746,-14.76572458839736,-229.91825469993404,40301.85603587222,6.422162784624511e-05,-12.717293573665948,-18.76685131815485,-14.861459888102692
